Time,Temperature(C),RH,UV Index,Pressure(mbar),Image URL,,,,,
"April 13, 2016 at 05:06PM",9.54,15,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWsmZinnpc=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/49.jpg,,,,
"April 13, 2016 at 07:51AM",4.16,22,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWslpWkoJk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/50.jpg,,,,
"April 14, 2016 at 07:56AM",4.43,20,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWtlZGrmJU=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/51.jpg,,,,
"April 15, 2016 at 05:04PM",12.37,21,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWul5GknJg=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/52.jpg,,,,
"April 15, 2016 at 07:52AM",6.81,15,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWtnZetmZo=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/53.jpg,,,,
"April 16, 2016 at 07:53AM",5.97,54,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWunJSomJw=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/54.jpg,,,,
"April 18, 2016 at 07:54AM",2.08,91,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWwmZemnps=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/55.jpg,,,,
"April 18, 2016 at 05:07PM",12.27,16,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWwnJqonJw=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/56.jpg,,,,
"April 19, 2016 at 07:54AM",7.65,38,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJanmJOpoJg=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/57.jpg,,,,
"April 19, 2016 at 05:03PM",9.48,35,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJanm5apnp4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/58.jpg,,,,
"April 21, 2016 at 05:06PM",12.82,7,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJapmJmpoJo=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/59.jpg,,,,
"April 22, 2016 at 05:06PM",8.96,19,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJaql5akmJ0=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/60.jpg,,,,
"April 23, 2016 at 07:53AM",2.3,38,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJaqnJmlmpo=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/61.jpg,,,,
"April 24, 2016 at 05:03PM",8.09,18,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJarnpipmZU=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/62.jpg,,,,
"April 25, 2016 at 07:57AM",2.76,34,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJasmpKloJ0=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/63.jpg,,,,
"April 25, 2016 at 05:04PM",11.44,4,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJasnZStoZY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/64.jpg,,,,
"April 26, 2016 at 07:55AM",6.58,18,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJatmJipmJY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/65.jpg,,,,
"April 26, 2016 at 05:04PM",10.77,12,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJatnJGomZo=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/66.jpg,,,,
"May 4, 2016 at 07:57AM",10.29,31,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJeql5msnZw=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/67.jpg,,,,
"May 4, 2016 at 05:03PM",16.31,13,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJeqm5Kqmpg=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/68.jpg,,,,
