Time,Temperature(C),RH,UV Index,Pressure(mbar),Precipitation,Image URL,,,,,
"February 12, 2016 at 05:01PM",-0.37,23,1271,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJeqn5s=.jpg,,,,,
"February 12, 2016 at 05:01PM",-0.31,23,1271,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJenoZU=.jpg,,,,,
"February 12, 2016 at 05:06PM",-0.6,26,1280,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJetnZY=.jpg,,,,,
"February 12, 2016 at 05:11PM",-0.81,26,1278,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJimnJ0=.jpg,,,,,
"February 12, 2016 at 05:16PM",-0.85,25,1272,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJipm5c=.jpg,,,,,
"February 12, 2016 at 05:21PM",-0.94,25,1271,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJiroZ0=.jpg,,,,,
"February 12, 2016 at 05:26PM",-0.93,25,1270,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJmlnZ0=.jpg,,,,,
"February 12, 2016 at 05:34PM",-0.87,23,1267,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJmnmps=.jpg,,,,,
"February 12, 2016 at 05:34PM",-0.95,25,1265,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJmqnZw=.jpg,,,,,
"February 12, 2016 at 05:40PM",-1.15,25,1260,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJmtn5s=.jpg,,,,,
"February 12, 2016 at 06:07PM",-1.53,24,1249,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZGqnZY=.jpg,,,,,
"February 12, 2016 at 06:07PM",-1.47,24,1251,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZGnnps=.jpg,,,,,
"February 12, 2016 at 06:10PM",-1.59,24,1249,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZGsmZo=.jpg,,,,,
"February 12, 2016 at 06:10PM",-1.37,23,1254,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZGkmJc=.jpg,,,,,
"February 12, 2016 at 06:23PM",-1.59,24,1248,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZKpoJk=.jpg,,,,,
"February 12, 2016 at 06:26PM",-1.55,24,1247,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZGtoJs=.jpg,,,,,
"February 12, 2016 at 06:23PM",-1.62,25,1248,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZKmoZw=.jpg,,,,,
"February 12, 2016 at 06:26PM",-1.7,23,1247,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZKrnZU=.jpg,,,,,
"February 12, 2016 at 06:29PM",-1.74,22,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnZKtmZ0=.jpg,,,,,
"February 12, 2016 at 06:36PM",-1.7,22,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 06:43PM",-1.89,24,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 06:48PM",-1.85,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 06:53PM",-1.89,22,1246,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 06:58PM",-2.01,24,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:03PM",-2.07,24,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:08PM",-2.02,22,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:13PM",-2.01,21,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:18PM",-2.11,23,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:23PM",-2.21,23,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:28PM",-2.24,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:33PM",-2.3,24,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:39PM",-2.41,25,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:44PM",-2.39,24,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:49PM",-2.5,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:54PM",-2.5,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 07:59PM",-2.49,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:04PM",-2.5,25,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:09PM",-2.49,23,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:14PM",-2.5,24,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:19PM",-2.57,25,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:24PM",-2.66,26,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:29PM",-2.7,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:34PM",-2.72,23,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:39PM",-2.76,23,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:49PM",-2.86,26,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:54PM",-2.89,27,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 08:59PM",-2.92,25,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:04PM",-2.95,25,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:09PM",-2.99,26,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:14PM",-2.98,26,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:19PM",-3.05,26,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:25PM",-3.08,27,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:29PM",-3.2,29,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:34PM",-3.29,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:39PM",-3.31,29,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:44PM",-3.28,27,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:49PM",-3.31,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 09:55PM",-3.34,28,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:00PM",-3.41,29,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:05PM",-3.41,29,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:10PM",-3.43,31,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:15PM",-3.43,27,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:20PM",-3.42,26,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:25PM",-3.45,27,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:30PM",-3.44,26,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:35PM",-3.37,24,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:40PM",-3.38,25,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:45PM",-3.48,26,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:50PM",-3.46,25,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 10:55PM",-3.48,28,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:00PM",-3.56,28,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:05PM",-3.53,26,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:10PM",-3.5,26,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:15PM",-3.57,27,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:25PM",-3.64,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:30PM",-3.71,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:35PM",-3.72,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:40PM",-3.82,29,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:45PM",-3.83,30,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:50PM",-3.83,29,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 12, 2016 at 11:55PM",-3.87,28,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:00AM",-3.86,31,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:05AM",-3.86,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:10AM",-3.91,29,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:16AM",-3.91,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:21AM",-3.96,31,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:26AM",-3.99,31,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:31AM",-3.98,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:36AM",-3.99,27,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
